author_id,username,n_retweets,n_authored,n_quoted,n_replies,n_quoting_replies,total
4811917159,bfsi_financial,,1286,,,,1286
4811951173,bfsi_ibb,,1286,,,,1286
4811798929,financ_mortgage,,1275,,,,1275
288983232,sherigreatfalls,956,52,166,4,,1178
19560636,SFBusinessTimes,2,328,,,,330
727281984788004864,Hydra__News,,245,,,,245
353463744,banawedata,154,80,,,,234
2792802479,marketstocknews,,204,,,,204
103615070,FargoNDNews,,165,,,,165
762685109090811904,W_I_science,,147,,,,147
