author_id,username,n_retweets,n_quoted,n_authored,n_replies,n_quoting_replies,total
827614173106421760,hassin_joan,51,,,8,,59
606411350,Imonlyslightly,11,,,41,,52
3290537383,PSYBERVIGILANTE,5,4,1,29,,39
1085072355481784320,BlogYomi,,,35,,,35
1084832449467768832,UlmHi,,,33,,,33
4835004712,ice_finance_fr,,,32,,,32
174413051,SokoloveLaw,,,27,,,27
18211084,marionste,27,,,,,27
844991548043472896,Barbara62141093,17,,,9,,26
493123841,dpmlawfirm,,,9,17,,26
