author_id,username,n_retweets,n_authored,n_replies,n_quoted,total
253637278,_YvonneBurton,4,,,,4
47950456,amanda_snavarro,,4,,,4
1021776329086128130,EwanGraves,,3,,,3
58851397,somsirsa,,3,,,3
56363520,Alanlsg,2,,,,2
167017165,Allchanges,2,,,,2
636117274,CavanaughRj,,1,1,,2
841447140815646720,DaltonReport,1,,1,,2
419927046,JoRichardsKent,2,,,,2
3950928695,Lesleygsmith3,2,,,,2
