author_id,username,n_retweets,n_authored,n_replies,n_quoted,total
602462419,JohnPuller1,,4,,,4
15628214,GTak,3,,,,3
356321581,SDUTmcdonald,,3,,,3
377859879,AubeyFox14,,2,,,2
86714397,CoachGBeasy,,2,,,2
1052930814,CountingCharity,,2,,,2
491441526,CoxStan,,2,,,2
610530921,DTeambanning,,2,,,2
564947756,Dark_Red_Hair,,,2,,2
4734696762,Grid_Keeper,,,2,,2
