author_id,username,n_retweets,n_authored,n_replies,n_quoted,n_quoting_replies,total
767,xeni,11,8,1,1,,21
17175139,docfreeride,13,,1,,,14
1157336340108914688,JenniferOmally,,4,8,,,12
128163,dearsarah,,,12,,,12
253637278,_YvonneBurton,10,,,1,,11
19393766,jjj5819,10,,,,,10
929050108523679745,CarrollQuigley1,7,,1,,1,9
1164062935,TheJessicaTate,9,,,,,9
350772690,braingarbage,7,2,,,,9
26603208,schestowitz,3,6,,,,9
