author_id,username,n_replies,n_retweets,n_author,n_quoted,n_quoting_replies,total
4811917159,bfsi_financial,,3394,,,,3394
4811951173,bfsi_ibb,,3393,,,,3393
4811798929,financ_mortgage,,3380,,,,3380
288983232,sherigreatfalls,1765,68,5,207,,2045
19560636,SFBusinessTimes,2,484,,,,486
2792802479,marketstocknews,,431,,,,431
353463744,banawedata,216,191,,,,407
762685109090811904,W_I_science,,358,,,,358
727281984788004864,Hydra__News,,298,,,,298
4864402683,march4progress,285,,,2,4,291
2177764470,itassessors,,267,,,,267
70913353,isaganimeliton,,244,,,,244
103615070,FargoNDNews,,228,,,,228
2514914696,androworldnews,,200,,,,200
4781209639,RclBD,,191,,,,191
628187727,SAToysHobiesPro,,190,,,,190
763337086359527424,FOXuknews,,188,,,,188
4852197763,NTKRNow,,188,,,,188
23152434,vrai777,,174,,,,174
2721208404,fdlx_com,,172,,,,172
