author_id,username,n_retweets,n_authored,n_replies,n_quoted,total
2215045314,RQTEK4GOD,,25,27,,52
15303011,marvinmusic,,20,,,20
18290719,TriplePundit,,18,,,18
2617259988,jswitch341,,16,,,16
4054354815,nonprofit_cat,,16,,,16
754594441202167808,AUNewsToday,,15,,,15
886702913745289216,TheFlakeNews,,9,,,9
88437648,bench_hoodie,,7,,,7
935250312616660992,rossr5girl94,7,,,,7
960871978008809474,Theweekend4all,6,,,,6
