author_id,username,n_replies,n_retweets,n_author,n_quoted,n_quoting_replies,total
350772690,braingarbage,95,4,,1,,100
51002583,DrRimmer,33,21,,,,54
767,xeni,31,15,,1,6,53
826868576141377536,Blink2XAmerica,43,,,,,43
8622212,cindygallop,34,4,,2,,40
14579229,jkohlmann,36,2,,2,,40
772843937358868480,smberpexpert,,40,,,,40
17175139,docfreeride,35,2,,1,1,39
2756929428,pmenonkp,,39,,,,39
805345210557493248,bethsinniresist,36,2,,,,38
771810098025037824,TechmemeChatter,37,,,,,37
253637278,_YvonneBurton,23,2,,1,10,36
128163,dearsarah,3,,,31,,34
352441927,KyleSGibson,22,7,1,2,1,33
15808647,techreview,4,26,,3,,33
1157336340108914688,JenniferOmally,,15,,17,,32
895814938995957760,threadreaderapp,,1,,30,,31
29283,tigerbeat,30,,,,1,31
116841782,wearaGDmask,28,,,,1,29
1089304789,FisicosMuertos,15,,,13,,28
