author_id,username,n_replies,n_retweets,n_author,n_quoted,n_quoting_replies,total
350772690,braingarbage,288,17,2,2,,309
767,xeni,102,32,2,,17,153
128163,dearsarah,11,,86,18,,115
1089304789,FisicosMuertos,58,1,48,,,107
17175139,docfreeride,100,4,1,,1,106
8622212,cindygallop,74,8,21,,,103
826868576141377536,Blink2XAmerica,98,,,,,98
1115959157637681152,MakeDonald,,94,,,,94
591104006,arndt_eric,80,3,2,,,85
15154811,phylogenomics,72,5,6,,2,85
805345210557493248,bethsinniresist,80,2,,,,82
15069078,_aLFRe_,62,2,15,,,79
6466252,schock,60,5,8,,,73
253637278,_YvonneBurton,55,4,1,,11,71
14579229,jkohlmann,68,3,,,,71
26603208,schestowitz,24,45,,,,69
51002583,DrRimmer,43,24,,,,67
5952352,elvan,66,,,,,66
895814938995957760,threadreaderapp,,1,59,,,60
47743935,avildsen,58,,,,,58
