author_id,username,n_retweets,n_authored,n_replies,n_quoted,n_quoting_replies,total
3868294106,supersavings_,,187,,,,187
762755610274177024,6GuysNameSteve,,136,,,,136
768452090045825024,MAYussuf1,,78,,,,78
15776298,karntna_bua,,72,,,,72
784447974743035904,lautanjobs,,66,,,,66
301148961,libertad717,63,,,,,63
297443753,thus_spake,,55,,,,55
506366413,Leggings_Shop,,52,,,,52
1568796476,sparkleacce,20,32,,,,52
817291036036833280,intensavida_,,47,,,,47
