author_id,username,n_replies,n_retweets,n_author,n_quoted,n_quoting_replies,total
971695146902339584,The_CasualSmart,,158,,,,158
189806241,CaligirlLeftie,97,2,,,,99
1580606461,KraeuterVerbena,94,,,,,94
980874245696819200,tradnews_,69,,,,,69
2622160657,anti__Monsanto,55,,,,,55
966006214818697218,EnterpriseLeade,,51,,,,51
1286106229,Rocketnews1,,46,,,,46
45365156,_RedFrog,41,2,,,,43
790019230389248000,politicalHEDGE,,43,,,,43
22821737,SunflowerN,7,1,32,,,40
989379943946694656,reurope_stock,,40,,,,40
989082007010512896,whatsonthorold2,,39,,,,39
184170370,lusr20,15,21,1,,,37
989388221686730753,mmahotstuff1,,37,,,,37
3131742505,robles_jdaniel,36,,1,,,37
270611565,SellByBuild,18,18,,,,36
173334737,8extremes,30,3,,,,33
2800313870,CaneBayPartners,,33,,,,33
3272301115,TBlackwe85,21,12,,,,33
993464474110750722,west_moreland,,32,,,,32
