author_id,username,n_retweets,n_replies,n_authored,n_quoted,n_quoting_replies,total
1115959157637681152,MakeDonald,,,66,,,66
1089304789,FisicosMuertos,24,21,,,,45
128163,dearsarah,1,30,,,11,42
767,xeni,27,1,11,3,,42
350772690,braingarbage,34,,6,,,40
2423861950,crystaljjlee,1,21,2,1,1,26
19393766,jjj5819,26,,,,,26
15069078,_aLFRe_,21,2,,,,23
15154811,phylogenomics,17,2,4,,,23
26603208,schestowitz,7,,16,,,23
