author_id,username,n_retweets,n_authored,n_replies,n_quoted,n_quoting_replies,total
288983232,sherigreatfalls,363,20,,36,,419
902014436722003968,mariestfleur1,,135,,282,,417
4851714497,WellsFargoShark,254,3,28,,,285
4811798929,financ_mortgage,,266,,,,266
4811951173,bfsi_ibb,,204,,,,204
4811917159,bfsi_financial,,174,,,,174
847111119496007680,Wolverines6667,111,,2,,,113
33271451,AnneMuyiwa,78,2,21,4,,105
1066779799,AngelsLouisiana,77,2,3,,,82
19560636,SFBusinessTimes,,63,,,,63
45660466,TheRealBudMan,,4,57,,,61
815607663908323329,Ferret_Crusher,,56,,,,56
2925014717,SleipnirPerkins,50,,,3,,53
1497519666,WFB_Fraud,8,31,10,2,,51
24173559,divemate,45,,,,,45
910179569638035456,LoanModFraud,40,1,1,,,42
3306553484,NancySa45944060,28,,6,,,34
825359465826353153,All100Senators,31,,,,,31
2993237220,cevoltz,29,2,,,,31
909953073870770177,BrendaMay12345,11,5,13,,,29
