author_id,username,n_retweets,n_quoted,n_replies,n_authored,n_quoting_replies,total
2943973749,Godney100,38,,386,,,424
715098051422064640,David40542129,9,1,332,2,,344
584994581,thefoodshack,,,271,,,271
1084664205293375488,akajane_doe,,,90,,,90
2948970016,UKMikeSmith,,,72,,1,73
98355836,Stingraytwo,36,,2,,,38
269508465,kazmc39,29,,1,3,,33
232383294,JulesSunbeam,23,,2,4,,29
1561448815,WritersofColour,7,,,20,,27
333137541,StuartMHurlbut,,,26,,,26
