author_id,username,n_retweets,n_replies,n_authored,n_quoted,n_quoting_replies,total
980941320758988801,Brittan75653343,140,,4,,,144
324919067,EINStarbucks,,,120,,,120
790019230389248000,politicalHEDGE,2,,100,,,102
28495118,Blackstar1000,,,99,,,99
753895350923124736,tesco_press,,,98,,,98
593525380,SmallBizPhilly,91,,,,,91
2917968139,StarbucksCare,,82,,,,82
138418838,StigmabaseO,2,,76,,,78
19348352,CarolSankar,4,,70,,,74
1566650000,Solutioneer72,68,,,2,,70
